model,method,period,f,h,predicted_y,error
PyTorch,PSO,6.0,0.6133609219405232,1.0615527852476925,0.800000011920929,1.1920928910669204e-08
PyTorch,GA,1.9932899653511114,0.4831661251022953,1.2474833938177272,0.8006510138511658,0.0006510138511657271
