pitch,a,h,T_interpolated
0.4131601180001686,0.1037056184036823,0.4276638932326939,0.6780564768017706
0.4131601180001686,0.1037056184036823,1.141645043371545,0.6260587130592159
0.4131601180001686,0.1037056184036823,1.8556261935103961,0.6450483535728456
0.4131601180001686,0.1037056184036823,2.5696073436492473,0.5928182789518274
0.4131601180001686,0.1037056184036823,3.2835884937880984,0.7186604459399668
0.4131601180001686,0.1037056184036823,3.9975696439269495,0.7448256846116557
0.4131601180001686,0.1037056184036823,4.711550794065801,0.6714889390583857
0.4131601180001686,0.1037056184036823,5.425531944204652,0.7039277496968491
0.4131601180001686,0.240958811545962,0.4276638932326939,0.6631457718495336
0.4131601180001686,0.240958811545962,1.141645043371545,0.6221360956760461
0.4131601180001686,0.240958811545962,1.8556261935103961,0.6728076704091375
0.4131601180001686,0.240958811545962,2.5696073436492473,0.6690324681202195
0.4131601180001686,0.240958811545962,3.2835884937880984,0.718083715650489
0.4131601180001686,0.240958811545962,3.9975696439269495,0.7452964503875021
0.4131601180001686,0.240958811545962,4.711550794065801,0.7280350014362634
0.4131601180001686,0.240958811545962,5.425531944204652,0.7022553295804461
0.4131601180001686,0.3782120046882417,0.4276638932326939,0.6625107977273587
0.4131601180001686,0.3782120046882417,1.141645043371545,0.7017261161175997
0.4131601180001686,0.3782120046882417,1.8556261935103961,0.6766549630059662
0.4131601180001686,0.3782120046882417,2.5696073436492473,0.6712625767458835
0.4131601180001686,0.3782120046882417,3.2835884937880984,0.6696713486333219
0.4131601180001686,0.3782120046882417,3.9975696439269495,0.7431653919232781
0.4131601180001686,0.3782120046882417,4.711550794065801,0.7477579018649166
0.4131601180001686,0.3782120046882417,5.425531944204652,0.6814358064779833
0.4131601180001686,0.5154651978305214,0.4276638932326939,0.6475095153800046
0.4131601180001686,0.5154651978305214,1.141645043371545,0.7143593508719654
0.4131601180001686,0.5154651978305214,1.8556261935103961,0.6916146643530532
0.4131601180001686,0.5154651978305214,2.5696073436492473,0.764812032412826
0.4131601180001686,0.5154651978305214,3.2835884937880984,0.6504199920898684
0.4131601180001686,0.5154651978305214,3.9975696439269495,0.7328575540021343
0.4131601180001686,0.5154651978305214,4.711550794065801,0.7453280605366116
0.4131601180001686,0.5154651978305214,5.425531944204652,0.7529601629663442
0.4131601180001686,0.652718390972801,0.4276638932326939,0.6015767450055661
0.4131601180001686,0.652718390972801,1.141645043371545,0.7158268423936553
0.4131601180001686,0.652718390972801,1.8556261935103961,0.7418482654296062
0.4131601180001686,0.652718390972801,2.5696073436492473,0.7671290436033655
0.4131601180001686,0.652718390972801,3.2835884937880984,0.6518191246255203
0.4131601180001686,0.652718390972801,3.9975696439269495,0.7225121394596303
0.4131601180001686,0.652718390972801,4.711550794065801,0.6944821946656965
0.4131601180001686,0.652718390972801,5.425531944204652,0.7539815976744877
0.4131601180001686,0.7899715841150808,0.4276638932326939,0.6015761310712173
0.4131601180001686,0.7899715841150808,1.141645043371545,0.7139878378908538
0.4131601180001686,0.7899715841150808,1.8556261935103961,0.6592893150261707
0.4131601180001686,0.7899715841150808,2.5696073436492473,0.7699852381637916
0.4131601180001686,0.7899715841150808,3.2835884937880984,0.6550604953279344
0.4131601180001686,0.7899715841150808,3.9975696439269495,0.6417430290657327
0.4131601180001686,0.7899715841150808,4.711550794065801,0.6927007701224757
0.4131601180001686,0.7899715841150808,5.425531944204652,0.7166348176097682
0.6752568886032311,0.1037056184036823,0.4276638932326939,0.8065394484600675
0.6752568886032311,0.1037056184036823,1.141645043371545,0.6497043391712285
0.6752568886032311,0.1037056184036823,1.8556261935103961,0.6404377620091923
0.6752568886032311,0.1037056184036823,2.5696073436492473,0.6340068270788202
0.6752568886032311,0.1037056184036823,3.2835884937880984,0.6936188667079282
0.6752568886032311,0.1037056184036823,3.9975696439269495,0.8566262154009606
0.6752568886032311,0.1037056184036823,4.711550794065801,0.673258425365719
0.6752568886032311,0.1037056184036823,5.425531944204652,0.6802558211238925
0.6752568886032311,0.240958811545962,0.4276638932326939,0.64227632600027
0.6752568886032311,0.240958811545962,1.141645043371545,0.6556352814642106
